access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,530.6496,1834.0766,0.0011,32768.0000,1024.0000,0.0036,0.0349,0.0852,0.1206,2,0
write,448.4770,1662.6847,0.0010,32768.0000,1024.0000,0.0028,0.0385,0.1077,0.1427,2,1
write,550.3670,1766.9295,0.0011,32768.0000,1024.0000,0.0030,0.0362,0.0788,0.1163,2,2
write,372.2877,1610.5129,0.0011,32768.0000,1024.0000,0.0029,0.0397,0.1363,0.1719,2,3
write,444.2347,1771.9097,0.0011,32768.0000,1024.0000,0.0021,0.0361,0.1068,0.1441,2,4
